Date,Price,Returns,log_ret
2015-01-05,129.0500030517578,-0.006925693863947036,
2015-01-06,127.52999877929688,-0.011778413301170687,-0.011848328345575634
2015-01-07,129.50999450683594,0.015525725292020454,0.015406434353596489
2015-01-08,131.8000030517578,0.017682099004343588,0.01752758940235149
2015-01-09,131.5399932861328,-0.001972759936302082,-0.001974708390161415
2015-01-12,130.8699951171875,-0.005093494018111211,-0.0051065100757199024
2015-01-13,131.1699981689453,0.0022923745927336814,0.0022897511106677575
2015-01-14,130.3800048828125,-0.006022667509039015,-0.006040876920635129
2015-01-15,130.13999938964844,-0.0018408151877259415,-0.001842511570140966
2015-01-16,130.77999877929688,0.004917776184493627,0.004905723422233142
2015-01-20,131.22000122070312,0.003364447511188473,0.0033588004203429825
2015-01-21,132.41000366210938,0.009068758042493519,0.0090278837895596
2015-01-22,135.63999938964844,0.0243938950094853,0.02410111574863497
2015-01-23,134.6199951171875,-0.007519937164927382,-0.007548354446159019
2015-01-26,134.07000732421875,-0.0040854836793745575,-0.004093852068209303
2015-01-27,132.47999572753906,-0.011859562242244048,-0.011930447856186325
2015-01-28,139.63999938964844,0.05404592310551393,0.05263601947884899
2015-01-29,147.77999877929688,0.058292748676793904,0.05665699523428678
2015-01-30,145.3699951171875,-0.016308050358753934,-0.016442490250855098
2015-02-02,146.25999450683594,0.006122304598902728,0.006103639435902723
2015-02-03,147.33999633789062,0.007384123284677191,0.007356994114569567
2015-02-04,147.22000122070312,-0.0008144096658745381,-0.0008147414775924852
2015-02-05,148.60000610351562,0.009373759484919919,0.009330098434860904
2015-02-06,148.0,-0.004037725968178307,-0.004045899592999277
2015-02-09,147.5800018310547,-0.002837825465846655,-0.0028418597266937477
2015-02-10,148.0399932861328,0.0031168955777944873,0.0031120481288226137
2015-02-11,147.9199981689453,-0.0008105587856624963,-0.0008108874660568599
2015-02-12,148.08999633789062,0.0011492575111524683,0.001148597620280301
2015-02-13,149.72999572753906,0.011074342833438333,0.011013471294724924
2015-02-17,149.9199981689453,0.00126896711966773,0.001268162661374495
2015-02-18,151.1699981689453,0.008337780251246985,0.008303212971496273
2015-02-19,153.75,0.0170668906681557,0.016922887438564238
2015-02-20,158.30999755859375,0.029658520706300706,0.029227213977378146
2015-02-23,154.74000549316406,-0.02255064190818623,-0.022808796043382314
2015-02-24,154.3800048828125,-0.0023264869947769995,-0.0023291974703856457
2015-02-25,153.00999450683594,-0.008874273433379654,-0.00891388431720276
2015-02-26,151.72999572753906,-0.008365458631786837,-0.008400645454199053
2015-02-27,150.85000610351562,-0.005799707696582446,-0.005816591312940217
2015-03-02,153.8000030517578,0.019555829160642135,0.019367070848026382
2015-03-03,155.57000732421875,0.011508480086735107,0.011442761264998904
2015-03-04,154.35000610351562,-0.007842136422611112,-0.007873047687406131
2015-03-05,154.47000122070312,0.0007774221732588238,0.0007771201371706507
2015-03-06,153.1199951171875,-0.008739600523384294,-0.008778014812837999
2015-03-09,154.75,0.010645277787300067,0.010589015748858168
2015-03-10,152.4199981689453,-0.015056554643325892,-0.015171055339952121
2015-03-11,151.1699981689453,-0.008201023586251965,-0.00823483697669033
2015-03-12,152.0399932861328,0.0057550779104673655,0.0057385807144257495
2015-03-13,151.57000732421875,-0.0030911995702970207,-0.003095987196573349
2015-03-16,153.6699981689453,0.013854923423171295,0.013759821385826777
2015-03-17,154.50999450683594,0.005466235100537453,0.005451349458425063
2015-03-18,155.72999572753906,0.00789593724727733,0.007864927462025882
2015-03-19,154.11000061035156,-0.010402588850139005,-0.010457073964413982
2015-03-20,154.5,0.002530655947724725,0.0025274592300211333
2015-03-23,152.80999755859375,-0.010938527128843023,-0.010998792697378424
2015-03-24,151.64999389648438,-0.007591150321591855,-0.007620109753215323
2015-03-25,148.22999572753906,-0.022551917616823514,-0.02281010118462489
2015-03-26,148.1699981689453,-0.00040475990233468373,-0.00040484183973468134
2015-03-27,148.85000610351562,0.004589376682011981,0.004578877603409636
2015-03-30,152.6999969482422,0.02586490216230919,0.025536063773013793
2015-03-31,150.0800018310547,-0.017157794168624285,-0.017306694780831362
2015-04-01,148.63999938964844,-0.009594898879514036,-0.00964122649915073
2015-04-02,149.27999877929688,0.004305700970643311,0.004296457962473827
2015-04-06,150.92999267578125,0.011053013866404227,0.010992375722317748
2015-04-07,152.32000732421875,0.009209664850533983,0.009167514483393627
2015-04-08,153.36000061035156,0.006827686686747159,0.006804483589777131
2015-04-09,153.4199981689453,0.00039122038572614315,0.0003911438789843869
2015-04-10,154.3800048828125,0.006257376647925916,0.006237880554002605
2015-04-13,153.24000549316406,-0.007384372027412489,-0.007411771470987195
2015-04-14,153.2100067138672,-0.00019576336610227507,-0.0001957825302511619
2015-04-15,152.42999267578125,-0.0050911429012772125,-0.005104146924969715
2015-04-16,151.97000122070312,-0.003017722739490858,-0.0030222852459888252
2015-04-17,149.60000610351562,-0.015595151004477503,-0.015718034638763426
2015-04-20,152.6699981689453,0.020521336498511955,0.020313610936027515
2015-04-21,153.3300018310547,0.004323073754012974,0.004313756114913646
2015-04-22,151.19000244140625,-0.013956821001061326,-0.014055133250174039
2015-04-23,149.8699951171875,-0.00873078446261899,-0.008769121063459834
2015-04-24,148.39999389648438,-0.009808509165251444,-0.009856929472116839
2015-04-27,147.8000030517578,-0.004043065157705361,-0.004051260442478793
2015-04-28,147.50999450683594,-0.001962168734328862,-0.001964096309297472
2015-04-29,146.14999389648438,-0.009219718398732257,-0.009262483057432805
2015-04-30,143.33999633789062,-0.019226805856618956,-0.01941404477789785
